id,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,type_display_name,outcome_type_display_name,period_display_name,distance,angle,xG
2633727783,10,0,20,26,369875,86.9,45.5,0,0,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""88.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""46.0""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.2""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""6""},{""type"":{""value"":82,""displayName"":""Blocked""}}]",TRUE,88.8,46,19,49.2,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,98.09108012,-2.659251372,0.042866669
2633727903,29,1,23,26,318871,81.3,46.4,0,0,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""15""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""28""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.1""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.8""}]",TRUE,90.1,47.8,19,49.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,93.60902734,-2.622976551,0.013018176
2633728303,56,7,32,23,474264,89.3,34.2,0,0,"[{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""38.3""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""77""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""55""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":78,""displayName"":""LowCentre""}}]",TRUE,91.7,38.3,19,49.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,95.62494444,-2.775845352,0.022539882
2633728625,122,11,26,26,400828,93.1,45.4,0,0,"[{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""83""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""4.4""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""121""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.1""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.7""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.8""},{""type"":{""value"":20,""displayName"":""RightFoot""}}]",TRUE,98.1,47.8,4.4,50.7,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,103.579776,-2.687875634,0.166609049
2633728627,123,11,28,26,355354,88,58.3,0,0,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""84""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":100,""displayName"":""SixYardBlock""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":108,""displayName"":""Volley""}}]",TRUE,97.5,51.6,19,50.1,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,105.5598882,-2.556480215,0.253640264
2633728649,126,11,36,26,86829,76.5,65.8,0,0,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""66.7""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""125""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""37.5""}]",TRUE,0,0,66.7,37.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,100.9053517,-2.431246508,0.086713791
2633729015,173,16,1,26,400828,90.4,61.8,0,0,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""171""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""63.9""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.7""},{""type"":{""value"":24,""displayName"":""SetPiece""}}]",TRUE,0,0,63.9,48.7,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,109.505251,-2.541939108,0.498447749
2633729463,207,21,58,26,108226,88.5,50,0,0,"[{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":9,""displayName"":""Penalty""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""20.3""},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.5""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""154""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.9""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.5""}]",TRUE,98.9,49.5,20.3,48.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,101.6476758,-2.627327526,0.105295917
2633729467,208,22,0,26,318871,94.2,41.1,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.7""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""72.2""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":24,""displayName"":""SetPiece""}}]",TRUE,0,0,72.2,46.7,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,102.7757267,-2.730185053,0.138714735
2633729575,220,23,17,26,355354,77,57.9,0,0,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""9.5""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""162""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.2""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.7""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]",TRUE,97.7,50.2,9.5,51.6,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,96.34007474,-2.496845957,0.026779301
2633729695,239,25,0,26,355354,97,62,0,0,"[{""type"":{""value"":61,""displayName"":""SmallBoxLeft""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""174""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""238""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""59.8""},{""type"":{""value"":100,""displayName"":""SixYardBlock""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.6""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]",TRUE,97.6,59.8,19,50.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,115.1216748,-2.572864771,0.821230288
2633729723,243,25,36,26,95408,87.1,56.1,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""54.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""176""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""298""},{""type"":{""value"":82,""displayName"":""Blocked""}}]",TRUE,91.1,54.7,19,51.6,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,103.6031853,-2.569385256,0.166433363
2633729741,249,25,53,26,345957,90.9,51.8,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.3""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.6""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""205""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""247""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]",TRUE,92.3,51.6,19,50.6,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,104.6233721,-2.623632075,0.209175379
2633729909,277,28,36,26,86829,75.6,51.6,0,0,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.4""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.3""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""276""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""197""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.1""}]",TRUE,90.1,51.4,19,51.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,91.53097836,-2.542681392,0.007397602
2633729973,286,29,26,26,369875,72.5,62.3,0,0,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.3""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""285""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""57.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""209""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""83.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]",TRUE,83.8,57.8,19,51.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,95.5904807,-2.431718226,0.021854814
2633730357,343,35,6,26,400828,85.1,56.5,0,0,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.1""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""268""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.5""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.5""},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""53.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]",TRUE,92.1,53.2,2.5,47.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,102.1482256,-2.555490672,0.118356342
2633730369,344,35,12,26,400828,81.8,64.8,0,0,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.3""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.1""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.3""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""269""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""13.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]",TRUE,98.1,51.3,13.9,48.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,104.3565043,-2.47164066,0.195863859
2633730571,368,38,35,26,318871,98.1,16.1,0,0,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""367""},{""type"":{""value"":66,""displayName"":""OutOfBoxDeepRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""33.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""55.2""}]",TRUE,0,0,33.5,55.2,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,99.41237348,-2.97892454,0.061482204
